experiment_id,eval_level,head,mean_auc,std_auc,mean_f1,std_f1,mean_sens,std_sens,mean_spec,std_spec,mean_brier,std_brier,folds,total_test,total_pos,total_neg,pos_rate_test
text_lr_traditional_only,speaker,txt,0.601686861069214,0.09235990348180402,0.08211527035056446,0.07989019429521783,0.04648692810457516,0.04718835714930836,0.984,0.03577708763999663,0.2418338700398217,0.010096777917521763,5,215,84,131,0.39069767441860465
text_lr_traditional_only,clip,txt,0.5875582127985974,0.08015410637193551,0.0847543873127855,0.07943309013666569,0.05270655270655267,0.05589239691399843,0.9627884615384616,0.04061802967057274,0.20470551896461187,0.012640550745010895,5,455,131,324,0.2879120879120879
text_lr_no_drift,speaker,txt,0.5863277191218368,0.07888549722173446,0.1006911217437533,0.0987817669180749,0.05751633986928104,0.05724087332238252,0.984,0.03577708763999663,0.24332299447649705,0.01004484960009571,5,215,84,131,0.39069767441860465
text_lr_no_drift,clip,txt,0.5850625958799036,0.07439557604560333,0.12123863494831236,0.08866148839588711,0.07578347578347575,0.0590386673337906,0.9597115384615386,0.03756220186405138,0.20548079892649027,0.01244511989348602,5,455,131,324,0.2879120879120879
text_lr_no_entropy,speaker,txt,0.582977040388805,0.08579976341286442,0.08211527035056446,0.07989019429521783,0.04648692810457516,0.04718835714930836,0.984,0.03577708763999663,0.24350024044957125,0.009821196725049872,5,215,84,131,0.39069767441860465
text_lr_novel_only,clip,txt,0.5824719208853824,0.021226486502959056,0.11589861751152072,0.09183986110803603,0.06866096866096863,0.05696581018473988,0.9752884615384616,0.01758459056798842,0.2030314400779169,0.004482785175556526,5,455,131,324,0.2879120879120879
text_lr_no_entropy,clip,txt,0.5750476660092045,0.07166553200311773,0.0900893997445721,0.04292989039925866,0.052991452991452935,0.03248987659615081,0.9658653846153846,0.03885912293028809,0.2063645355950614,0.012782691622310986,5,455,131,324,0.2879120879120879
text_lr_novel_only,speaker,txt,0.5748170772582537,0.029221096142027947,0.10432748538011691,0.1027690221121402,0.05751633986928104,0.05724087332238252,1.0,0.0,0.24347796530307103,0.007399879686756444,5,215,84,131,0.39069767441860465
