run,experiment_id,head,bin,mean_auc,std_auc,mean_sens_at_fpr,std_sens_at_fpr,folds,n_pos_total,n_neg_total
text_ablation_lr,text_lr_no_drift,txt,"(0.0,5.0]",0.6559516178266178,0.10124926297570334,0.2496031746031746,0.13578156691106635,5,45,324
text_ablation_lr,text_lr_no_drift,txt,"(10.0,15.0]",0.48469013278388273,0.11593085504501735,0.07857142857142857,0.11406228159050938,5,27,324
text_ablation_lr,text_lr_no_drift,txt,"(5.0,10.0]",0.6071362751831502,0.11865000378981619,0.20238095238095238,0.1952526127006753,5,32,324
text_ablation_lr,text_lr_no_drift,txt,=0,0.5162339743589743,0.041956110667034,0.08333333333333333,0.11785113019775792,5,27,324
text_ablation_lr,text_lr_no_entropy,txt,"(0.0,5.0]",0.6610592185592186,0.10498229766391008,0.22738095238095238,0.16911467482933107,5,45,324
text_ablation_lr,text_lr_no_entropy,txt,"(10.0,15.0]",0.47649862637362633,0.09669888114489826,0.05714285714285714,0.12777531299998798,5,27,324
text_ablation_lr,text_lr_no_entropy,txt,"(5.0,10.0]",0.5871607905982905,0.09795539874938419,0.14523809523809522,0.14878571238064756,5,32,324
text_ablation_lr,text_lr_no_entropy,txt,=0,0.4985897435897436,0.03967736417832445,0.03333333333333333,0.07453559924999298,5,27,324
text_ablation_lr,text_lr_novel_only,txt,"(0.0,5.0]",0.6103716422466422,0.07403047709537844,0.23571428571428568,0.12028457899735286,5,45,324
text_ablation_lr,text_lr_novel_only,txt,"(10.0,15.0]",0.5696136675824175,0.09063546563553881,0.075,0.1118033988749895,5,27,324
text_ablation_lr,text_lr_novel_only,txt,"(5.0,10.0]",0.580136217948718,0.08411217840325187,0.14523809523809522,0.14878571238064756,5,32,324
text_ablation_lr,text_lr_novel_only,txt,=0,0.5165144230769231,0.18285502288426417,0.13333333333333333,0.12638125740085918,5,27,324
text_ablation_lr,text_lr_traditional_only,txt,"(0.0,5.0]",0.6734073565323565,0.10773903561433426,0.2781746031746032,0.18788750165432438,5,45,324
text_ablation_lr,text_lr_traditional_only,txt,"(10.0,15.0]",0.47865876831501825,0.11106618056843161,0.10714285714285714,0.14725377234348788,5,27,324
text_ablation_lr,text_lr_traditional_only,txt,"(5.0,10.0]",0.5974171054639805,0.12216717101509011,0.16746031746031745,0.18723263460417727,5,32,324
text_ablation_lr,text_lr_traditional_only,txt,=0,0.5221314102564103,0.027486684100551762,0.03333333333333333,0.07453559924999298,5,27,324
