experiment_id,fold,head,eval_level,thr,auc,f1,sens,spec,brier,n_pos,n_neg,n_test,threshold_policy,target_sensitivity
text_catboost_cfg1,5,txt,speaker,0.5,0.3482142857142857,0.14285714285714288,0.125,0.6428571428571429,0.3661236020368325,8,14,22,fixed_0.5,
text_lr,6,txt,clip,0.5,0.5192307692307692,0.14285714285714288,0.07692307692307693,1.0,0.20437153699442767,13,32,45,fixed_0.5,
text_lr,6,txt,speaker,0.5,0.6324786324786325,0.0,0.0,1.0,0.25362566914547,9,13,22,fixed_0.5,
text_svm_cal,6,txt,clip,0.5,0.5240384615384616,0.0,0.0,1.0,0.20360705868006784,13,32,45,fixed_0.5,
text_svm_cal,6,txt,speaker,0.5,0.6581196581196581,0.0,0.0,1.0,0.2546361576664244,9,13,22,fixed_0.5,
text_mlp,6,txt,clip,0.5,0.5264423076923077,0.13333333333333336,0.07692307692307693,0.96875,0.2149863729534967,13,32,45,fixed_0.5,
text_mlp,6,txt,speaker,0.5,0.5982905982905983,0.0,0.0,1.0,0.24709810136817154,9,13,22,fixed_0.5,
text_catboost_cfg1,6,txt,clip,0.5,0.5769230769230769,0.32,0.3076923076923077,0.75,0.285814455576998,13,32,45,fixed_0.5,
text_catboost_cfg1,6,txt,speaker,0.5,0.5726495726495726,0.2857142857142857,0.2222222222222222,0.7692307692307693,0.27453320551974003,9,13,22,fixed_0.5,
text_lr,7,txt,clip,0.5,0.5198135198135199,0.0,0.0,0.9393939393939394,0.221117687029807,13,33,46,fixed_0.5,
text_lr,7,txt,speaker,0.5,0.5178571428571429,0.0,0.0,0.9285714285714286,0.2409090582869093,8,14,22,fixed_0.5,
text_svm_cal,7,txt,clip,0.5,0.5151515151515151,0.0,0.0,0.9696969696969697,0.21304871129448094,13,33,46,fixed_0.5,
text_svm_cal,7,txt,speaker,0.5,0.5178571428571429,0.0,0.0,1.0,0.23846144485169585,8,14,22,fixed_0.5,
text_mlp,7,txt,clip,0.5,0.5384615384615385,0.13333333333333336,0.07692307692307693,0.9696969696969697,0.20648374484556106,13,33,46,fixed_0.5,
text_mlp,7,txt,speaker,0.5,0.5982142857142857,0.2222222222222222,0.125,1.0,0.22305450855200748,8,14,22,fixed_0.5,
text_catboost_cfg1,7,txt,clip,0.5,0.6386946386946388,0.3076923076923077,0.3076923076923077,0.7272727272727273,0.23645799922294444,13,33,46,fixed_0.5,
text_catboost_cfg1,7,txt,speaker,0.5,0.7321428571428572,0.5454545454545454,0.375,1.0,0.1789662994269733,8,14,22,fixed_0.5,
text_lr,8,txt,clip,0.5,0.514423076923077,0.25,0.15384615384615385,0.96875,0.20059119614874218,13,32,45,fixed_0.5,
text_lr,8,txt,speaker,0.5,0.5726495726495726,0.3636363636363636,0.2222222222222222,1.0,0.232378391599478,9,13,22,fixed_0.5,
text_svm_cal,8,txt,clip,0.5,0.5216346153846154,0.0,0.0,1.0,0.20012786992424567,13,32,45,fixed_0.5,
text_svm_cal,8,txt,speaker,0.5,0.5982905982905984,0.0,0.0,1.0,0.24131209949973978,9,13,22,fixed_0.5,
text_mlp,8,txt,clip,0.5,0.5168269230769231,0.125,0.07692307692307693,0.9375,0.22443056627228117,13,32,45,fixed_0.5,
text_mlp,8,txt,speaker,0.5,0.5555555555555556,0.19999999999999998,0.1111111111111111,1.0,0.2531892572234582,9,13,22,fixed_0.5,
text_catboost_cfg1,8,txt,clip,0.5,0.46875,0.2,0.15384615384615385,0.84375,0.2926255420554814,13,32,45,fixed_0.5,
text_catboost_cfg1,8,txt,speaker,0.5,0.48717948717948717,0.1818181818181818,0.1111111111111111,0.9230769230769231,0.3237660031939065,9,13,22,fixed_0.5,
text_lr,9,txt,clip,0.5,0.6223776223776223,0.2666666666666667,0.15384615384615385,1.0,0.1856680736789334,13,33,46,fixed_0.5,
text_lr,9,txt,speaker,0.5,0.6964285714285715,0.2222222222222222,0.125,1.0,0.20974165333207093,8,14,22,fixed_0.5,
text_svm_cal,9,txt,clip,0.5,0.6223776223776224,0.0,0.0,1.0,0.1912387688447698,13,33,46,fixed_0.5,
text_svm_cal,9,txt,speaker,0.5,0.6875,0.0,0.0,1.0,0.219444476382073,8,14,22,fixed_0.5,
text_mlp,9,txt,clip,0.5,0.5104895104895104,0.14285714285714288,0.07692307692307693,1.0,0.2137353640579818,13,33,46,fixed_0.5,
text_mlp,9,txt,speaker,0.5,0.6071428571428571,0.0,0.0,1.0,0.22867103084713689,8,14,22,fixed_0.5,
text_catboost_cfg1,9,txt,clip,0.5,0.4312354312354313,0.18181818181818185,0.15384615384615385,0.7878787878787878,0.31772769060721257,13,33,46,fixed_0.5,
text_catboost_cfg1,9,txt,speaker,0.5,0.33035714285714285,0.16666666666666666,0.125,0.7857142857142857,0.35335133793248624,8,14,22,fixed_0.5,
text_lr,10,txt,clip,0.5,0.48437500000000006,0.23529411764705882,0.14285714285714285,0.96875,0.20898371626246223,14,32,46,fixed_0.5,
text_lr,10,txt,speaker,0.5,0.43076923076923074,0.18181818181818182,0.1,1.0,0.2640850341499851,10,13,23,fixed_0.5,
text_svm_cal,10,txt,clip,0.5,0.48883928571428564,0.13333333333333333,0.07142857142857142,1.0,0.20832314896508514,14,32,46,fixed_0.5,
text_svm_cal,10,txt,speaker,0.5,0.423076923076923,0.18181818181818182,0.1,1.0,0.2642244081628104,10,13,23,fixed_0.5,
text_mlp,10,txt,clip,0.5,0.453125,0.21052631578947364,0.14285714285714285,0.90625,0.23134246059744396,14,32,46,fixed_0.5,
text_mlp,10,txt,speaker,0.5,0.4923076923076923,0.18181818181818182,0.1,1.0,0.2477721811781291,10,13,23,fixed_0.5,
text_catboost_cfg1,10,txt,clip,0.5,0.4866071428571429,0.0,0.0,0.75,0.34782202032259607,14,32,46,fixed_0.5,
text_catboost_cfg1,10,txt,speaker,0.5,0.34615384615384615,0.0,0.0,0.8461538461538461,0.38443809713400334,10,13,23,fixed_0.5,
