experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
text_mlp,5,txt,"(10.0,15.0]",0.18181818181818182,0.0,0.45616248435592294,2,33,0.1
text_mlp,5,txt,"(5.0,10.0]",0.6565656565656566,0.3333333333333333,0.45616248435592294,3,33,0.1
text_mlp,5,txt,=0,0.9696969696969697,1.0,0.45616248435592294,1,33,0.1
text_mlp,6,txt,"(0.0,5.0]",0.5833333333333333,0.16666666666666666,0.452864505650538,6,32,0.1
text_mlp,6,txt,"(10.0,15.0]",0.609375,0.5,0.452864505650538,2,32,0.1
text_mlp,6,txt,"(5.0,10.0]",0.15625,0.0,0.452864505650538,1,32,0.1
text_mlp,6,txt,=0,0.4921875,0.0,0.452864505650538,4,32,0.1
text_mlp,7,txt,"(0.0,5.0]",0.6363636363636365,0.25,0.42457080647588213,4,33,0.1
text_mlp,7,txt,"(10.0,15.0]",0.6969696969696969,0.3333333333333333,0.42457080647588213,3,33,0.1
text_mlp,7,txt,"(5.0,10.0]",0.4343434343434343,0.3333333333333333,0.42457080647588213,3,33,0.1
text_mlp,7,txt,=0,0.3535353535353535,0.0,0.42457080647588213,3,33,0.1
text_mlp,8,txt,"(0.0,5.0]",0.46875,0.2,0.49390410021708403,5,32,0.1
text_mlp,8,txt,"(10.0,15.0]",0.5624999999999999,0.0,0.49390410021708403,3,32,0.1
text_mlp,8,txt,"(5.0,10.0]",0.7291666666666666,0.0,0.49390410021708403,3,32,0.1
text_mlp,8,txt,=0,0.25,0.0,0.49390410021708403,2,32,0.1
text_mlp,9,txt,"(0.0,5.0]",0.5844155844155844,0.0,0.4763983834650173,7,33,0.1
text_mlp,9,txt,"(5.0,10.0]",0.5858585858585859,0.3333333333333333,0.4763983834650173,3,33,0.1
text_mlp,9,txt,=0,0.26262626262626265,0.0,0.4763983834650173,3,33,0.1
text_mlp,10,txt,"(0.0,5.0]",0.15625,0.0,0.4945978721338157,1,32,0.1
text_mlp,10,txt,"(10.0,15.0]",0.34375,0.2,0.4945978721338157,5,32,0.1
text_mlp,10,txt,"(5.0,10.0]",0.53125,0.14285714285714285,0.4945978721338157,7,32,0.1
text_mlp,10,txt,=0,0.75,0.0,0.4945978721338157,1,32,0.1
text_svm_cal,1,txt,"(0.0,5.0]",0.515625,0.0,0.3088027278426074,2,32,0.1
text_svm_cal,1,txt,"(10.0,15.0]",0.515625,0.0,0.3088027278426074,2,32,0.1
text_svm_cal,1,txt,"(5.0,10.0]",0.4875,0.2,0.3088027278426074,5,32,0.1
text_svm_cal,1,txt,=0,0.65625,0.0,0.3088027278426074,4,32,0.1
text_svm_cal,2,txt,"(0.0,5.0]",0.8375,0.4,0.31209610023327183,5,32,0.1
text_svm_cal,2,txt,"(10.0,15.0]",0.3125,0.0,0.31209610023327183,2,32,0.1
text_svm_cal,2,txt,"(5.0,10.0]",0.65625,0.0,0.31209610023327183,2,32,0.1
text_svm_cal,2,txt,=0,0.7421875,0.25,0.31209610023327183,4,32,0.1
text_svm_cal,3,txt,"(0.0,5.0]",0.3333333333333333,0.0,0.34910098977766696,2,33,0.1
text_svm_cal,3,txt,"(10.0,15.0]",0.47878787878787876,0.2,0.34910098977766696,5,33,0.1
text_svm_cal,3,txt,"(5.0,10.0]",0.7348484848484848,0.25,0.34910098977766696,4,33,0.1
text_svm_cal,3,txt,=0,0.45454545454545453,0.0,0.34910098977766696,2,33,0.1
text_svm_cal,4,txt,"(0.0,5.0]",0.6614583333333333,0.3333333333333333,0.31288513972778476,6,32,0.1
text_svm_cal,4,txt,"(10.0,15.0]",0.6875,0.3333333333333333,0.31288513972778476,3,32,0.1
text_svm_cal,4,txt,"(5.0,10.0]",0.71875,0.0,0.31288513972778476,1,32,0.1
text_svm_cal,4,txt,=0,0.6875,0.0,0.31288513972778476,3,32,0.1
text_svm_cal,5,txt,"(0.0,5.0]",0.6190476190476191,0.2857142857142857,0.34456854123725694,7,33,0.1
text_svm_cal,5,txt,"(10.0,15.0]",0.40909090909090906,0.0,0.34456854123725694,2,33,0.1
text_svm_cal,5,txt,"(5.0,10.0]",0.5858585858585859,0.3333333333333333,0.34456854123725694,3,33,0.1
text_svm_cal,5,txt,=0,0.8787878787878788,0.0,0.34456854123725694,1,33,0.1
text_svm_cal,6,txt,"(0.0,5.0]",0.5416666666666666,0.16666666666666666,0.3196428641202775,6,32,0.1
text_svm_cal,6,txt,"(10.0,15.0]",0.65625,0.5,0.3196428641202775,2,32,0.1
text_svm_cal,6,txt,"(5.0,10.0]",0.21875,0.0,0.3196428641202775,1,32,0.1
text_svm_cal,6,txt,=0,0.5078125,0.0,0.3196428641202775,4,32,0.1
text_svm_cal,7,txt,"(0.0,5.0]",0.6515151515151515,0.0,0.39655037972983387,4,33,0.1
text_svm_cal,7,txt,"(10.0,15.0]",0.6161616161616161,0.0,0.39655037972983387,3,33,0.1
text_svm_cal,7,txt,"(5.0,10.0]",0.4242424242424242,0.0,0.39655037972983387,3,33,0.1
text_svm_cal,7,txt,=0,0.3232323232323232,0.0,0.39655037972983387,3,33,0.1
text_svm_cal,8,txt,"(0.0,5.0]",0.65625,0.6,0.3051913211684438,5,32,0.1
text_svm_cal,8,txt,"(10.0,15.0]",0.4583333333333333,0.3333333333333333,0.3051913211684438,3,32,0.1
text_svm_cal,8,txt,"(5.0,10.0]",0.6041666666666666,0.0,0.3051913211684438,3,32,0.1
text_svm_cal,8,txt,=0,0.15625,0.0,0.3051913211684438,2,32,0.1
text_svm_cal,9,txt,"(0.0,5.0]",0.6060606060606061,0.2857142857142857,0.34784347591126397,7,33,0.1
text_svm_cal,9,txt,"(5.0,10.0]",0.9595959595959596,0.6666666666666666,0.34784347591126397,3,33,0.1
text_svm_cal,9,txt,=0,0.3232323232323232,0.0,0.34784347591126397,3,33,0.1
text_svm_cal,10,txt,"(0.0,5.0]",0.125,0.0,0.3405248707609015,1,32,0.1
text_svm_cal,10,txt,"(10.0,15.0]",0.36250000000000004,0.0,0.3405248707609015,5,32,0.1
text_svm_cal,10,txt,"(5.0,10.0]",0.5580357142857143,0.14285714285714285,0.3405248707609015,7,32,0.1
text_svm_cal,10,txt,=0,1.0,1.0,0.3405248707609015,1,32,0.1
