
=== BIN (0.0,5.0] (top 30) ===
                          run             experiment_id head  mean_auc  std_auc  mean_sens_at_fpr  folds  n_pos_total  n_neg_total
     table3_core_targetSens80             audio_core_lr  aud    0.4744   0.1680            0.0500      5           32          324
  table5_audio_dimensionality             audio_core_lr  aud    0.4723   0.2219            0.0786     10           32          324

=== BIN =0 (top 30) ===
                          run             experiment_id head  mean_auc  std_auc  mean_sens_at_fpr  folds  n_pos_total  n_neg_total
  table5_audio_dimensionality                  audio_lr  aud    0.6892   0.1760            0.3333     10           27          324
  table5_audio_dimensionality early_fusion_audio_pca_lr  fus    0.6728   0.1756            0.2000     10           27          324
     table3_core_targetSens80                  audio_lr  aud    0.6402   0.0884            0.3500      5           27          324
     table3_core_targetSens80            late_fusion_lr  aud    0.6402   0.0884            0.3500      5           27          324
     table3_core_targetSens80           early_fusion_lr  fus    0.6347   0.0315            0.2417      5           27          324
     table3_core_targetSens80            late_fusion_lr  fus    0.5837   0.0510            0.1333      5           27          324
exp18_text_classifier_compare                   text_lr  txt    0.5734   0.2583            0.1500     10           27          324
      text_classifier_compare                   text_lr  txt    0.5734   0.2583            0.1500     10           27          324
exp18_text_classifier_compare              text_svm_cal  txt    0.5730   0.2669            0.1250     10           27          324
      text_classifier_compare              text_svm_cal  txt    0.5730   0.2669            0.1250     10           27          324
     table3_core_targetSens80             audio_core_lr  aud    0.5631   0.0400            0.1667      5           27          324
  table5_audio_dimensionality             audio_core_lr  aud    0.5450   0.1740            0.1833     10           27          324
exp18_text_classifier_compare                  text_mlp  txt    0.5406   0.2430            0.1583     10           27          324
      text_classifier_compare                  text_mlp  txt    0.5406   0.2430            0.1583     10           27          324
     table3_core_targetSens80            late_fusion_lr  txt    0.5321   0.0556            0.1083      5           27          324
     table3_core_targetSens80                   text_lr  txt    0.5321   0.0556            0.1083      5           27          324
             text_ablation_lr  text_lr_traditional_only  txt    0.5221   0.0275            0.0333      5           27          324
             text_ablation_lr        text_lr_novel_only  txt    0.5165   0.1829            0.1333      5           27          324
             text_ablation_lr          text_lr_no_drift  txt    0.5162   0.0420            0.0833      5           27          324
     table3_core_targetSens80              text_svm_cal  txt    0.5031   0.0687            0.0333      5           27          324
             text_ablation_lr        text_lr_no_entropy  txt    0.4986   0.0397            0.0333      5           27          324
          exp19_text_catboost        text_catboost_cfg1  txt    0.4335   0.2243            0.0583     10           27          324
      text_classifier_compare        text_catboost_cfg1  txt    0.4335   0.2243            0.0583     10           27          324
