run,experiment_id,eval_level,head,mean_auc,std_auc,mean_f1,std_f1,mean_sens,std_sens,mean_spec,std_spec,mean_brier,std_brier,folds,total_test,total_pos,total_neg,pos_rate_test
exp18_text_classifier_compare,text_lr,clip,txt,0.5748870920745921,0.07753017807638596,0.1490406162464986,0.11235023951068793,0.09120879120879118,0.06970302326239546,0.9599431818181818,0.025201376545392794,0.2033829770139422,0.010700006245564104,10,455,131,324,0.2879120879120879
exp18_text_classifier_compare,text_lr,speaker,txt,0.5850412087912088,0.08641332003157386,0.12121212121212119,0.136020268530129,0.06972222222222221,0.08003182237455668,0.9928571428571429,0.022587697572631266,0.24091754856504152,0.016047724761497732,10,215,84,131,0.39069767441860465
exp18_text_classifier_compare,text_mlp,clip,txt,0.5594369172494172,0.08990372307840533,0.12712406015037592,0.07816700270906499,0.0758241758241758,0.049538654384774124,0.965814393939394,0.0310996216014552,0.21131875968587693,0.01340850472751285,10,455,131,324,0.2879120879120879
exp18_text_classifier_compare,text_mlp,speaker,txt,0.6131730769230769,0.11777753639881393,0.06040404040404039,0.09772642444754907,0.03361111111111111,0.054440192577738314,1.0,0.0,0.23540461326630108,0.017662251025713956,10,215,84,131,0.39069767441860465
exp18_text_classifier_compare,text_svm_cal,clip,txt,0.57280583999334,0.07298121621790317,0.02761904761904761,0.058269320238252,0.01483516483516483,0.031302075583959144,0.9969696969696968,0.009582659576267848,0.20235494212319088,0.006902602008025792,10,455,131,324,0.2879120879120879
exp18_text_classifier_compare,text_svm_cal,speaker,txt,0.5807921245421246,0.09632515324268445,0.01818181818181818,0.05749595745760689,0.01,0.03162277660168379,1.0,0.0,0.24301839348514354,0.013442689920707959,10,215,84,131,0.39069767441860465
exp19_text_catboost,text_catboost_cfg1,clip,txt,0.5277181152181152,0.08857292743440268,0.2667323940427389,0.1664815869155441,0.25384615384615383,0.170276489393682,0.76875,0.06714780133602909,0.2944257168925081,0.046847965565847596,10,455,131,324,0.2879120879120879
exp19_text_catboost,text_catboost_cfg1,speaker,txt,0.519089590964591,0.1525708254132263,0.22367965367965364,0.23811185826813916,0.17083333333333334,0.1966421219949103,0.824908424908425,0.11536184049511425,0.2974538730177466,0.07209325341567253,10,215,84,131,0.39069767441860465
table3_core_targetSens80,audio_core_lr,clip,aud,0.5221808568923954,0.04119414939711219,0.43180335997773067,0.04556860687344737,0.8703703703703702,0.09623031674796391,0.12634615384615383,0.061672030525291015,0.21055008386820373,0.008600575305131737,5,455,131,324,0.2879120879120879
table3_core_targetSens80,audio_core_lr,speaker,aud,0.5068370202781967,0.06975692873299849,0.5217820086977365,0.04734619126799862,0.8806372549019608,0.09590038274285893,0.04503703703703702,0.04819484914619989,0.25092846779398104,0.013876648542023586,5,215,84,131,0.39069767441860465
table3_core_targetSens80,audio_lr,clip,aud,0.5836616535174228,0.07611249434670461,0.4343175631116969,0.018720954085705288,0.7860398860398861,0.08481108719978082,0.2591826923076923,0.10932828672784622,0.2125488003048704,0.014111175926623783,5,455,131,324,0.2879120879120879
table3_core_targetSens80,audio_lr,speaker,aud,0.5804031339031339,0.10372647153234152,0.5147023600728857,0.03979370415257057,0.8196895424836601,0.09670576700417358,0.12967521367521365,0.05100839297375469,0.23976828829772856,0.02248692529780588,5,215,84,131,0.39069767441860465
table3_core_targetSens80,early_fusion_lr,clip,fus,0.5997771477098401,0.05516885613745817,0.44608115191537207,0.020132655976842592,0.801139601139601,0.07490900262342795,0.27774038461538464,0.06413982290587066,0.20977898187620614,0.013491421591610361,5,455,131,324,0.2879120879120879
table3_core_targetSens80,early_fusion_lr,speaker,fus,0.5958929529076589,0.07233076531982666,0.5519427064163906,0.043192911284456056,0.8675653594771241,0.07905145335908505,0.183019943019943,0.07069822240099324,0.23882970774468687,0.021454167343012944,5,215,84,131,0.39069767441860465
table3_core_targetSens80,late_fusion_lr,clip,aud,0.5836616535174228,0.07611249434670461,0.4343175631116969,0.018720954085705288,0.7860398860398861,0.08481108719978082,0.2591826923076923,0.10932828672784622,0.2125488003048704,0.014111175926623783,5,455,131,324,0.2879120879120879
table3_core_targetSens80,late_fusion_lr,clip,fus,0.5951490247644095,0.027782758979703726,0.4310051871942345,0.027569490721618878,0.7256410256410256,0.08956025229011783,0.3395673076923077,0.06915468909920922,0.20187101771771365,0.0034786496910240838,5,455,131,324,0.2879120879120879
table3_core_targetSens80,late_fusion_lr,clip,txt,0.5925897161954854,0.05792651805818183,0.45702748232159995,0.04746890055668973,0.7566951566951567,0.11318916574472439,0.37653846153846154,0.007740235306730051,0.20234155969579165,0.006503414357930094,5,455,131,324,0.2879120879120879
table3_core_targetSens80,late_fusion_lr,speaker,aud,0.5804031339031339,0.10372647153234152,0.5147023600728857,0.03979370415257057,0.8196895424836601,0.09670576700417358,0.12967521367521365,0.05100839297375469,0.23976828829772856,0.02248692529780588,5,215,84,131,0.39069767441860465
table3_core_targetSens80,late_fusion_lr,speaker,fus,0.6073543656778951,0.011490849329108885,0.5314036184522118,0.043939904836880095,0.785702614379085,0.03133412253839891,0.24611965811965808,0.12124616807998749,0.24313318242222662,0.006885610864481899,5,215,84,131,0.39069767441860465
