run,experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,3,fus,"[0.0,5.0]",0.6588486140724947,0.07142857142857142,0.7724533757106127,14,67,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,4,fus,"(10.0,15.0]",0.3650793650793651,0.0,0.47802691253084334,5,63,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,4,fus,"(5.0,10.0]",0.5804988662131519,0.14285714285714285,0.47802691253084334,7,63,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,4,fus,"[0.0,5.0]",0.5962301587301588,0.25,0.47802691253084334,16,63,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,5,fus,"(10.0,15.0]",0.30666666666666664,0.0,0.633643609100545,2,75,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,5,fus,"(5.0,10.0]",0.44666666666666666,0.0,0.633643609100545,4,75,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,5,fus,"[0.0,5.0]",0.6026666666666667,0.2,0.633643609100545,10,75,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,1,fus,"(10.0,15.0]",0.41404358353510895,0.14285714285714285,0.6829117576506776,7,59,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,1,fus,"(5.0,10.0]",0.6459510357815442,0.3333333333333333,0.6829117576506776,9,59,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,1,fus,"[0.0,5.0]",0.5709745762711864,0.25,0.6829117576506776,16,59,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,2,fus,"(10.0,15.0]",0.6616666666666666,0.2,0.7662305451991362,10,60,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,2,fus,"(5.0,10.0]",0.5733333333333334,0.4,0.7662305451991362,5,60,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,2,fus,"[0.0,5.0]",0.32395833333333335,0.0,0.7662305451991362,16,60,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,3,fus,"(10.0,15.0]",0.5671641791044776,0.3333333333333333,0.7938023149623594,3,67,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,3,fus,"(5.0,10.0]",0.5927505330490406,0.2857142857142857,0.7938023149623594,7,67,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,3,fus,"[0.0,5.0]",0.593816631130064,0.07142857142857142,0.7938023149623594,14,67,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,4,fus,"(10.0,15.0]",0.28571428571428575,0.0,0.7987424318825105,5,63,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,4,fus,"(5.0,10.0]",0.5691609977324262,0.0,0.7987424318825105,7,63,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,4,fus,"[0.0,5.0]",0.6636904761904762,0.3125,0.7987424318825105,16,63,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,5,fus,"(10.0,15.0]",0.18666666666666665,0.0,0.78217958306588,2,75,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,5,fus,"(5.0,10.0]",0.49000000000000005,0.25,0.78217958306588,4,75,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_lr,5,fus,"[0.0,5.0]",0.5653333333333334,0.2,0.78217958306588,10,75,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,1,fus,"(10.0,15.0]",0.38014527845036317,0.0,0.6959028247897429,7,59,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,1,fus,"(5.0,10.0]",0.5725047080979284,0.0,0.6959028247897429,9,59,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,1,fus,"[0.0,5.0]",0.5624999999999999,0.1875,0.6959028247897429,16,59,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,2,fus,"(10.0,15.0]",0.5916666666666667,0.2,0.7325134318461732,10,60,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,2,fus,"(5.0,10.0]",0.6166666666666667,0.2,0.7325134318461732,5,60,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,2,fus,"[0.0,5.0]",0.47291666666666665,0.0625,0.7325134318461732,16,60,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,3,fus,"(10.0,15.0]",0.5174129353233831,0.3333333333333333,0.6790894805015341,3,67,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,3,fus,"(5.0,10.0]",0.5842217484008528,0.2857142857142857,0.6790894805015341,7,67,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,3,fus,"[0.0,5.0]",0.7260127931769722,0.35714285714285715,0.6790894805015341,14,67,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,4,fus,"(10.0,15.0]",0.5333333333333334,0.0,0.4827837731898134,5,63,0.1
