iter	Logloss
0	0.6719715269
1	0.6497397436
2	0.6325046117
3	0.6072627088
4	0.5870155714
5	0.5669835467
6	0.5549060305
7	0.539943991
8	0.5223226828
9	0.5061471778
10	0.4915773842
11	0.4799957769
12	0.4720453799
13	0.4620954782
14	0.4509689087
15	0.440348813
16	0.4319444285
17	0.4215656965
18	0.4130751699
19	0.4021538945
20	0.3894029448
21	0.3802788477
22	0.373939008
23	0.3683549859
24	0.3615376117
25	0.3543851278
26	0.3459483826
27	0.3359741397
28	0.3286115846
29	0.322025235
30	0.3162495213
31	0.3088344054
32	0.3010344145
33	0.2940168934
34	0.2911336306
35	0.2865286359
36	0.2822836513
37	0.2750441496
38	0.2699384066
39	0.2669887331
40	0.2607899431
41	0.2582611822
42	0.2548930546
43	0.2531326177
44	0.2481502642
45	0.2455744391
46	0.2428090942
47	0.2388867772
48	0.2337214962
49	0.2314876169
50	0.2263377039
51	0.2230628998
52	0.2203307281
53	0.2152628044
54	0.21270203
55	0.2094239339
56	0.2066934035
57	0.2037264534
58	0.2005446284
59	0.1971589272
60	0.1941025077
61	0.1914384579
62	0.1896400187
63	0.186915528
64	0.1854739056
65	0.1816307163
66	0.1782984904
67	0.176595946
68	0.1739024726
69	0.170956015
70	0.1688372496
71	0.1674423665
72	0.1658353912
73	0.1637521959
74	0.1615955095
75	0.1592014745
76	0.1570531878
77	0.1552039551
78	0.1534397802
79	0.1507170689
80	0.148043339
81	0.1468120508
82	0.1455040849
83	0.1447465704
84	0.1424267749
85	0.1398821182
86	0.1390559996
87	0.1366977569
88	0.135892555
89	0.1342645898
90	0.1319992681
91	0.131308792
92	0.1294773467
93	0.1286252171
94	0.1263189787
95	0.125034617
96	0.1240543024
97	0.1225384189
98	0.1205343792
99	0.1189405921
100	0.1169342531
101	0.1154888658
102	0.1145112573
103	0.1127748888
104	0.1107168516
105	0.109746322
106	0.1080742806
107	0.1068155842
108	0.1058278172
109	0.1042802778
110	0.1036468124
111	0.1014505364
112	0.1010360377
113	0.0994815585
114	0.09788453168
115	0.09678087947
116	0.09624298566
117	0.09502261895
118	0.09340715836
119	0.09282980681
120	0.09119114648
121	0.09005627702
122	0.08986281699
123	0.08862975295
124	0.08713298617
125	0.08572427754
126	0.08537582984
127	0.08397030054
128	0.08333298218
129	0.0832429039
130	0.08261531995
131	0.08125297248
