experiment_id,eval_level,head,mean_auc,std_auc,mean_f1,std_f1,mean_sens,std_sens,mean_spec,std_spec,mean_brier,std_brier,folds,total_test,total_pos,total_neg,pos_rate_test
text_mlp,speaker,txt,0.6131730769230769,0.11777753639881393,0.06040404040404039,0.09772642444754907,0.03361111111111111,0.054440192577738314,1.0,0.0,0.23540461326630108,0.017662251025713956,10,215,84,131,0.39069767441860465
text_lr,speaker,txt,0.5850412087912088,0.08641332003157386,0.12121212121212119,0.136020268530129,0.06972222222222221,0.08003182237455668,0.9928571428571429,0.022587697572631266,0.24091754856504152,0.016047724761497732,10,215,84,131,0.39069767441860465
text_svm_cal,speaker,txt,0.5807921245421246,0.09632515324268445,0.01818181818181818,0.05749595745760689,0.01,0.03162277660168379,1.0,0.0,0.24301839348514354,0.013442689920707959,10,215,84,131,0.39069767441860465
text_lr,clip,txt,0.5748870920745921,0.07753017807638596,0.1490406162464986,0.11235023951068793,0.09120879120879118,0.06970302326239546,0.9599431818181818,0.025201376545392794,0.2033829770139422,0.010700006245564104,10,455,131,324,0.2879120879120879
text_svm_cal,clip,txt,0.57280583999334,0.07298121621790317,0.02761904761904761,0.058269320238252,0.01483516483516483,0.031302075583959144,0.9969696969696968,0.009582659576267848,0.20235494212319088,0.006902602008025792,10,455,131,324,0.2879120879120879
text_mlp,clip,txt,0.5594369172494172,0.08990372307840533,0.12712406015037592,0.07816700270906499,0.0758241758241758,0.049538654384774124,0.965814393939394,0.0310996216014552,0.21131875968587693,0.01340850472751285,10,455,131,324,0.2879120879120879
text_catboost_cfg1,clip,txt,0.5277181152181152,0.08857292743440268,0.2667323940427389,0.1664815869155441,0.25384615384615383,0.170276489393682,0.76875,0.06714780133602909,0.2944257168925081,0.046847965565847596,10,455,131,324,0.2879120879120879
text_catboost_cfg1,speaker,txt,0.519089590964591,0.1525708254132263,0.22367965367965364,0.23811185826813916,0.17083333333333334,0.1966421219949103,0.824908424908425,0.11536184049511425,0.2974538730177466,0.07209325341567253,10,215,84,131,0.39069767441860465
