experiment_id,fold,head,eval_level,thr,auc,f1,sens,spec,brier,n_pos,n_neg,n_test,threshold_policy,target_sensitivity
audio_lr,2,aud,speaker,0.19591467463481738,0.4683257918552037,0.4705882352941177,0.7058823529411765,0.15384615384615385,0.2691155462449693,17,26,43,target_sens,0.8
audio_core_lr,2,aud,clip,0.1862447456030057,0.5568047337278107,0.42201834862385323,0.8846153846153846,0.07692307692307693,0.20358365001240564,26,65,91,target_sens,0.8
audio_core_lr,2,aud,speaker,0.1862447456030057,0.5972850678733033,0.5172413793103449,0.8823529411764706,0.0,0.24703874153423763,17,26,43,target_sens,0.8
early_fusion_lr,2,fus,clip,0.20466847305112854,0.5668639053254438,0.4375,0.8076923076923077,0.24615384615384617,0.2117424747315618,26,65,91,target_sens,0.8
early_fusion_lr,2,fus,speaker,0.20466847305112854,0.5248868778280544,0.5,0.7647058823529411,0.15384615384615385,0.26021198660544714,17,26,43,target_sens,0.8
late_fusion_lr,2,txt,clip,0.2661415934367659,0.6816568047337278,0.5274725274725275,0.9230769230769231,0.36923076923076925,0.1925216850954003,26,65,91,target_sens,0.8
late_fusion_lr,2,txt,speaker,0.2661415934367659,0.6470588235294118,0.6415094339622641,1.0,0.2692307692307692,0.23586744853425107,17,26,43,target_sens,0.8
late_fusion_lr,2,aud,clip,0.19591467463481738,0.5076923076923078,0.4123711340206186,0.7692307692307693,0.2153846153846154,0.21697861699059204,26,65,91,target_sens,0.8
late_fusion_lr,2,aud,speaker,0.19591467463481738,0.4683257918552037,0.4705882352941177,0.7058823529411765,0.15384615384615385,0.2691155462449693,17,26,43,target_sens,0.8
late_fusion_lr,2,fus,clip,0.27404791037718046,0.6443786982248522,0.4731182795698925,0.8461538461538461,0.3076923076923077,0.20051451482229718,26,65,91,target_sens,0.8
late_fusion_lr,2,fus,speaker,0.27404791037718046,0.6221719457013575,0.5185185185185186,0.8235294117647058,0.11538461538461539,0.24718094365034773,17,26,43,target_sens,0.8
text_lr,3,txt,clip,0.2590516988986043,0.5688657407407407,0.40476190476190477,0.6296296296296297,0.375,0.21016041035728478,27,64,91,target_sens,0.8
text_lr,3,txt,speaker,0.2590516988986043,0.5844444444444444,0.5777777777777777,0.7222222222222222,0.44,0.252704915199028,18,25,43,target_sens,0.8
text_svm_cal,3,txt,clip,0.24121872593681118,0.5486111111111112,0.45161290322580644,0.7777777777777778,0.296875,0.21864781224091076,27,64,91,target_sens,0.8
text_svm_cal,3,txt,speaker,0.24121872593681118,0.5777777777777777,0.5957446808510638,0.7777777777777778,0.4,0.25465251224545365,18,25,43,target_sens,0.8
audio_lr,3,aud,clip,0.20899199338583607,0.6857638888888888,0.4489795918367347,0.8148148148148148,0.234375,0.18850499829848075,27,64,91,target_sens,0.8
audio_lr,3,aud,speaker,0.20899199338583607,0.6977777777777778,0.5614035087719298,0.8888888888888888,0.08,0.22581099879026353,18,25,43,target_sens,0.8
audio_core_lr,3,aud,clip,0.181238195874899,0.5150462962962963,0.41818181818181815,0.8518518518518519,0.0625,0.22268176463336178,27,64,91,target_sens,0.8
audio_core_lr,3,aud,speaker,0.181238195874899,0.4266666666666667,0.5263157894736842,0.8333333333333334,0.04,0.2747827190922339,18,25,43,target_sens,0.8
early_fusion_lr,3,fus,clip,0.20945395331667113,0.6811342592592593,0.4742268041237114,0.8518518518518519,0.265625,0.18903533108663395,27,64,91,target_sens,0.8
