experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
audio_core_lr,1,aud,"(0.0,5.0]",0.5294871794871794,0.16666666666666666,0.37790185638655227,12,65,0.1
audio_core_lr,1,aud,"(10.0,15.0]",0.41025641025641024,0.0,0.37790185638655227,3,65,0.1
audio_core_lr,1,aud,"(5.0,10.0]",0.356043956043956,0.0,0.37790185638655227,7,65,0.1
audio_core_lr,1,aud,=0,0.5961538461538461,0.25,0.37790185638655227,4,65,0.1
audio_core_lr,2,aud,"(0.0,5.0]",0.6659340659340659,0.42857142857142855,0.3574786287819004,7,65,0.1
audio_core_lr,2,aud,"(10.0,15.0]",0.5318681318681318,0.14285714285714285,0.3574786287819004,7,65,0.1
audio_core_lr,2,aud,"(5.0,10.0]",0.49059829059829063,0.0,0.3574786287819004,9,65,0.1
audio_core_lr,2,aud,=0,0.558974358974359,0.0,0.3574786287819004,3,65,0.1
audio_core_lr,3,aud,"(0.0,5.0]",0.5069444444444444,0.2222222222222222,0.41874820931123446,9,64,0.1
audio_core_lr,3,aud,"(10.0,15.0]",0.50390625,0.25,0.41874820931123446,4,64,0.1
audio_core_lr,3,aud,"(5.0,10.0]",0.529296875,0.25,0.41874820931123446,8,64,0.1
audio_core_lr,3,aud,=0,0.515625,0.16666666666666666,0.41874820931123446,6,64,0.1
audio_core_lr,4,aud,"(0.0,5.0]",0.6769230769230768,0.2222222222222222,0.3951048860161341,9,65,0.1
audio_core_lr,4,aud,"(10.0,15.0]",0.23692307692307693,0.0,0.3951048860161341,5,65,0.1
audio_core_lr,4,aud,"(5.0,10.0]",0.2807692307692307,0.0,0.3951048860161341,4,65,0.1
audio_core_lr,4,aud,=0,0.5346153846153846,0.25,0.3951048860161341,8,65,0.1
audio_core_lr,5,aud,"(0.0,5.0]",0.5711538461538461,0.25,0.3737277055214558,8,65,0.1
audio_core_lr,5,aud,"(10.0,15.0]",0.47307692307692306,0.125,0.3737277055214558,8,65,0.1
audio_core_lr,5,aud,"(5.0,10.0]",0.7153846153846154,0.0,0.3737277055214558,4,65,0.1
audio_core_lr,5,aud,=0,0.6102564102564102,0.16666666666666666,0.3737277055214558,6,65,0.1
audio_lr,1,aud,"(0.0,5.0]",0.5474358974358975,0.25,0.37739032780084486,12,65,0.1
audio_lr,1,aud,"(10.0,15.0]",0.3538461538461538,0.0,0.37739032780084486,3,65,0.1
audio_lr,1,aud,"(5.0,10.0]",0.6351648351648351,0.14285714285714285,0.37739032780084486,7,65,0.1
audio_lr,1,aud,=0,0.4923076923076923,0.25,0.37739032780084486,4,65,0.1
audio_lr,2,aud,"(0.0,5.0]",0.5802197802197803,0.0,0.4496159659197615,7,65,0.1
audio_lr,2,aud,"(10.0,15.0]",0.41978021978021973,0.0,0.4496159659197615,7,65,0.1
audio_lr,2,aud,"(5.0,10.0]",0.4735042735042735,0.1111111111111111,0.4496159659197615,9,65,0.1
audio_lr,2,aud,=0,0.6461538461538461,0.3333333333333333,0.4496159659197615,3,65,0.1
audio_lr,3,aud,"(0.0,5.0]",0.6354166666666666,0.1111111111111111,0.4202241114584395,9,64,0.1
audio_lr,3,aud,"(10.0,15.0]",0.8125,0.5,0.4202241114584395,4,64,0.1
audio_lr,3,aud,"(5.0,10.0]",0.646484375,0.375,0.4202241114584395,8,64,0.1
audio_lr,3,aud,=0,0.7291666666666667,0.3333333333333333,0.4202241114584395,6,64,0.1
audio_lr,4,aud,"(0.0,5.0]",0.5282051282051281,0.0,0.5471543129648752,9,65,0.1
audio_lr,4,aud,"(10.0,15.0]",0.44,0.2,0.5471543129648752,5,65,0.1
audio_lr,4,aud,"(5.0,10.0]",0.44999999999999996,0.0,0.5471543129648752,4,65,0.1
audio_lr,4,aud,=0,0.6692307692307692,0.5,0.5471543129648752,8,65,0.1
audio_lr,5,aud,"(0.0,5.0]",0.6173076923076923,0.25,0.5770954831654304,8,65,0.1
audio_lr,5,aud,"(10.0,15.0]",0.7057692307692308,0.375,0.5770954831654304,8,65,0.1
audio_lr,5,aud,"(5.0,10.0]",0.5307692307692308,0.25,0.5770954831654304,4,65,0.1
audio_lr,5,aud,=0,0.6641025641025641,0.3333333333333333,0.5770954831654304,6,65,0.1
early_fusion_lr,1,fus,"(0.0,5.0]",0.5679487179487179,0.25,0.4218638845027118,12,65,0.1
early_fusion_lr,1,fus,"(10.0,15.0]",0.3538461538461538,0.0,0.4218638845027118,3,65,0.1
early_fusion_lr,1,fus,"(5.0,10.0]",0.6461538461538461,0.14285714285714285,0.4218638845027118,7,65,0.1
early_fusion_lr,1,fus,=0,0.5807692307692307,0.0,0.4218638845027118,4,65,0.1
early_fusion_lr,2,fus,"(0.0,5.0]",0.6043956043956045,0.2857142857142857,0.4687561254393767,7,65,0.1
early_fusion_lr,2,fus,"(10.0,15.0]",0.5208791208791208,0.0,0.4687561254393767,7,65,0.1
early_fusion_lr,2,fus,"(5.0,10.0]",0.5487179487179488,0.1111111111111111,0.4687561254393767,9,65,0.1
early_fusion_lr,2,fus,=0,0.641025641025641,0.3333333333333333,0.4687561254393767,3,65,0.1
early_fusion_lr,3,fus,"(0.0,5.0]",0.6076388888888888,0.2222222222222222,0.46246136897579676,9,64,0.1
early_fusion_lr,3,fus,"(10.0,15.0]",0.8671875,0.25,0.46246136897579676,4,64,0.1
early_fusion_lr,3,fus,"(5.0,10.0]",0.68359375,0.375,0.46246136897579676,8,64,0.1
early_fusion_lr,3,fus,=0,0.6640625,0.16666666666666666,0.46246136897579676,6,64,0.1
early_fusion_lr,4,fus,"(0.0,5.0]",0.5811965811965811,0.2222222222222222,0.42102047387843256,9,65,0.1
early_fusion_lr,4,fus,"(10.0,15.0]",0.44,0.2,0.42102047387843256,5,65,0.1
early_fusion_lr,4,fus,"(5.0,10.0]",0.4423076923076923,0.0,0.42102047387843256,4,65,0.1
early_fusion_lr,4,fus,=0,0.6442307692307692,0.375,0.42102047387843256,8,65,0.1
early_fusion_lr,5,fus,"(0.0,5.0]",0.6365384615384615,0.125,0.6430214242569152,8,65,0.1
early_fusion_lr,5,fus,"(10.0,15.0]",0.6288461538461538,0.25,0.6430214242569152,8,65,0.1
early_fusion_lr,5,fus,"(5.0,10.0]",0.6153846153846154,0.0,0.6430214242569152,4,65,0.1
early_fusion_lr,5,fus,=0,0.6435897435897435,0.3333333333333333,0.6430214242569152,6,65,0.1
late_fusion_lr,1,txt,"(0.0,5.0]",0.6102564102564102,0.3333333333333333,0.3030865275152632,12,65,0.1
late_fusion_lr,1,txt,"(10.0,15.0]",0.4923076923076923,0.0,0.3030865275152632,3,65,0.1
late_fusion_lr,1,txt,"(5.0,10.0]",0.6153846153846154,0.42857142857142855,0.3030865275152632,7,65,0.1
late_fusion_lr,1,txt,=0,0.5884615384615385,0.25,0.3030865275152632,4,65,0.1
late_fusion_lr,1,aud,"(0.0,5.0]",0.5474358974358975,0.25,0.37739032780084486,12,65,0.1
late_fusion_lr,1,aud,"(10.0,15.0]",0.3538461538461538,0.0,0.37739032780084486,3,65,0.1
late_fusion_lr,1,aud,"(5.0,10.0]",0.6351648351648351,0.14285714285714285,0.37739032780084486,7,65,0.1
late_fusion_lr,1,aud,=0,0.4923076923076923,0.25,0.37739032780084486,4,65,0.1
late_fusion_lr,1,fus,"(0.0,5.0]",0.6217948717948718,0.25,0.2970913805345705,12,65,0.1
late_fusion_lr,1,fus,"(10.0,15.0]",0.2512820512820513,0.0,0.2970913805345705,3,65,0.1
