experiment_id,eval_level,head,mean_auc,std_auc,mean_f1,std_f1,mean_sens,std_sens,mean_spec,std_spec,mean_brier,std_brier,folds,total_test,total_pos,total_neg,pos_rate_test
late_fusion_lr,speaker,fus,0.6073543656778951,0.011490849329108885,0.5314036184522118,0.043939904836880095,0.785702614379085,0.03133412253839891,0.24611965811965808,0.12124616807998749,0.24313318242222662,0.006885610864481899,5,215,84,131,0.39069767441860465
early_fusion_lr,clip,fus,0.5997771477098401,0.05516885613745817,0.44608115191537207,0.020132655976842592,0.801139601139601,0.07490900262342795,0.27774038461538464,0.06413982290587066,0.20977898187620614,0.013491421591610361,5,455,131,324,0.2879120879120879
early_fusion_lr,speaker,fus,0.5958929529076589,0.07233076531982666,0.5519427064163906,0.043192911284456056,0.8675653594771241,0.07905145335908505,0.183019943019943,0.07069822240099324,0.23882970774468687,0.021454167343012944,5,215,84,131,0.39069767441860465
late_fusion_lr,clip,fus,0.5951490247644095,0.027782758979703726,0.4310051871942345,0.027569490721618878,0.7256410256410256,0.08956025229011783,0.3395673076923077,0.06915468909920922,0.20187101771771365,0.0034786496910240838,5,455,131,324,0.2879120879120879
late_fusion_lr,clip,txt,0.5925897161954854,0.05792651805818183,0.45702748232159995,0.04746890055668973,0.7566951566951567,0.11318916574472439,0.37653846153846154,0.007740235306730051,0.20234155969579165,0.006503414357930094,5,455,131,324,0.2879120879120879
text_lr,clip,txt,0.5925897161954854,0.05792651805818183,0.45702748232159995,0.04746890055668973,0.7566951566951567,0.11318916574472439,0.37653846153846154,0.007740235306730051,0.20234155969579165,0.006503414357930094,5,455,131,324,0.2879120879120879
late_fusion_lr,speaker,txt,0.5849507290095526,0.06998435450166944,0.5711866348945922,0.05022939035853621,0.8231209150326798,0.12043242985611961,0.329025641025641,0.07457673629675243,0.24277400445364342,0.006798005166183314,5,215,84,131,0.39069767441860465
text_lr,speaker,txt,0.5849507290095526,0.06998435450166944,0.5711866348945922,0.05022939035853621,0.8231209150326798,0.12043242985611961,0.329025641025641,0.07457673629675243,0.24277400445364342,0.006798005166183314,5,215,84,131,0.39069767441860465
audio_lr,clip,aud,0.5836616535174228,0.07611249434670461,0.4343175631116969,0.018720954085705288,0.7860398860398861,0.08481108719978082,0.2591826923076923,0.10932828672784622,0.2125488003048704,0.014111175926623783,5,455,131,324,0.2879120879120879
late_fusion_lr,clip,aud,0.5836616535174228,0.07611249434670461,0.4343175631116969,0.018720954085705288,0.7860398860398861,0.08481108719978082,0.2591826923076923,0.10932828672784622,0.2125488003048704,0.014111175926623783,5,455,131,324,0.2879120879120879
audio_lr,speaker,aud,0.5804031339031339,0.10372647153234152,0.5147023600728857,0.03979370415257057,0.8196895424836601,0.09670576700417358,0.12967521367521365,0.05100839297375469,0.23976828829772856,0.02248692529780588,5,215,84,131,0.39069767441860465
late_fusion_lr,speaker,aud,0.5804031339031339,0.10372647153234152,0.5147023600728857,0.03979370415257057,0.8196895424836601,0.09670576700417358,0.12967521367521365,0.05100839297375469,0.23976828829772856,0.02248692529780588,5,215,84,131,0.39069767441860465
text_svm_cal,clip,txt,0.5687754766600921,0.048407257200796826,0.45682737300586895,0.014055668919063654,0.8094017094017094,0.10809516292909137,0.30245192307692303,0.09697015273500247,0.2059713663965692,0.007636070921705133,5,455,131,324,0.2879120879120879
text_svm_cal,speaker,txt,0.5638849086643204,0.06041956343588078,0.5505959977534667,0.037977736683867606,0.8334967320261437,0.09544873836099382,0.2378347578347578,0.11504653082838821,0.2461529795288157,0.006117294170889587,5,215,84,131,0.39069767441860465
audio_core_lr,clip,aud,0.5221808568923954,0.04119414939711219,0.43180335997773067,0.04556860687344737,0.8703703703703702,0.09623031674796391,0.12634615384615383,0.061672030525291015,0.21055008386820373,0.008600575305131737,5,455,131,324,0.2879120879120879
audio_core_lr,speaker,aud,0.5068370202781967,0.06975692873299849,0.5217820086977365,0.04734619126799862,0.8806372549019608,0.09590038274285893,0.04503703703703702,0.04819484914619989,0.25092846779398104,0.013876648542023586,5,215,84,131,0.39069767441860465
